bullet_point,category,category_url,clickthrough_url,close_date,currency,funds_raised_amount,funds_raised_percent,image_url,is_indemand,is_pre_launch,is_promoted,is_proven,offered_by,open_date,perk_goal_percentage,perks_claimed,price_offered,price_retail,product_stage,project_id,project_type,source_url,tagline,tags,title
"null","Photography","/explore/photography","/projects/legacy-prehistoric-britain-photography-project","2015-06-07T23:59:59-07:00","GBP","4","0.008","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/txn69jlwlocviddamssb.jpg","false","false","false","false","null","2015-05-08T04:51:15-07:00","null","null","null","null","null","1259531","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","A not-for-profit endeavour to photograph the mystifying stone remains of British prehistoric sites.","[""other""]","Legacy - Prehistoric Britain Photography Project"
"null","Photography","/explore/photography","/projects/passion-for-photography--3","2015-06-08T23:59:59-07:00","USD","335","0.1675","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/wos2jni6svoxszfkhaw2.jpg","false","false","false","false","null","2015-04-09T14:41:43-07:00","null","null","null","null","null","1217600","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","Photography is my favorite thing in the world! I'd love to share it and grow my small business!","[""other""]","Passion for Photography"
"null","Photography","/explore/photography","/projects/photography-editorial-course-with-nick-knight","2015-08-30T23:59:59-07:00","GBP","25","0.027777777778","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/w5bzec7mq6njd68noi9b.jpg","false","false","false","false","null","2015-08-02T16:39:33-07:00","null","null","null","null","null","1380274","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","Opportunity to learn all Nick has learned in his lifetime about photography & the fashion industry","[""other""]","Photography Editorial Course With Nick Knight"
"null","Photography","/explore/photography","/projects/libro-bicientenario-la-libertad-pendiente","2019-08-04T23:59:59-07:00","USD","539","0.179666666667","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/xezwgwqay7lmklrpjmy0.jpg","false","false","false","false","null","2019-07-05T00:00:00-07:00","null","null","null","null","null","2521164","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","200 años después tres viajeros recorren en bici la Ruta Libertadora de la Nueva Granada de 1819","[""books""]","Libro BICIENTENARIO: La libertad pendiente"
"null","Photography","/explore/photography","/projects/south-sudan-the-worlds-youngest-country-with-hope","2018-09-15T23:59:59-07:00","USD","198","0.0396","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/pgij8mpmidjnwt75bwws.jpg","false","false","false","false","null","2018-07-17T16:36:19-07:00","null","null","null","null","null","2398916","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","Marcel shows unique photos of South Sudan - from a country which is inaccessible to most of us.","[""women"",""men"",""community"",""documentary"",""professional""]","South Sudan -the worlds youngest country with hope"
"null","Photography","/explore/photography","/projects/art-from-adventure","2018-07-08T23:59:59-07:00","USD","1064","0.709333333333","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/icfqiwxnkj1qjvppxeoa.jpg","false","false","false","false","null","2018-06-08T09:06:34-07:00","null","null","null","null","null","2382490","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","I'm a photographer who is about to hike 2200 miles and I want to share my journey with you.","[""adventure"",""hiking"",""camping""]","Art From Adventure"
"null","Photography","/explore/photography","/projects/the-melting-pot-series","2017-06-23T23:59:59-07:00","USD","115","0.0115","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/lfmcm5pcfmqgy65pv4qr.jpg","false","false","false","false","null","2017-04-24T21:14:22-07:00","null","null","null","null","null","2101091","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","Raising awareness for important social issues such as immigration and diversity through photography.","[""social innovations"",""social innovations""]","The Melting Pot Series"
"null","Photography","/explore/photography","/projects/family-tree-immersive-dna-photo-installation","2017-02-18T23:59:59-08:00","USD","1380","0.306666666667","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/rxth6xiz5a20p5auw6b4.jpg","false","false","false","false","null","2017-01-09T12:13:31-08:00","null","null","null","null","null","1999743","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","two years in the making. exploring my family's DNA. making dream installation happen.","[""kids""]","FAMILY TREE,  immersive DNA photo installation"
"null","Photography","/explore/photography","/projects/the-daily-portrait-berlin-book","2017-04-24T23:59:59-07:00","USD","19206","0.282441176471","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/yomsbeostypsquhmon0k.jpg","false","false","false","false","null","2017-02-23T15:27:57-08:00","null","null","null","null","null","2046709","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","A big photography book of 381 naked Berliners in their homes. The art project.","[""books""]","THE DAILY PORTRAIT BERLIN BOOK"
"null","Photography","/explore/photography","/projects/1000-cars-of-nyc-the-book","2017-04-29T23:59:59-07:00","EUR","5989","0.243951120163","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/roeqdq05kqfqfsxzsb8u.jpg","false","false","false","false","null","2017-03-10T06:33:25-08:00","null","null","null","null","null","2050449","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","U love cars & NYC! Help Lionel Koretzky raise funds for the 1st edition of his homonym IG account","[""books"",""cars""]","1000 Cars of NYC - The Book"
